"";"category";"average"
"3";"Code.Style";0,0287286206896552
"2";"Documentation";0,0258137931034483
"1";"Error.Prone";0,0251274137931034
"4";"Design";0,0241787931034483
"7";"Performance";0,017978275862069
"5";"Best.Practices";0,0156408620689655
"6";"Multithreading";0,00637034482758621
