"";"category";"average"
"3";"Code.Style";0,00844288461538461
"1";"Error.Prone";0,00815480769230769
"4";"Design";0,00800903846153846
"7";"Performance";0,00709346153846154
"2";"Documentation";0,00648403846153846
"5";"Best.Practices";0,00646730769230769
"6";"Multithreading";0
