"";"category";"average"
"3";"Code.Style";0,00777235294117647
"1";"Error.Prone";0,00665725490196078
"4";"Design";0,00508196078431373
"2";"Documentation";0,00442117647058824
"7";"Performance";0,00197196078431373
"5";"Best.Practices";0,00174509803921569
"6";"Multithreading";0,000846862745098039
