"";"category";"average"
"9";"indentation";0,0187104444444444
"4";"blocks";0,0167084444444444
"6";"sizes";0,0151102222222222
"3";"checks";0,0144346666666667
"5";"whitespace";0,0123686666666667
"11";"coding";0,0108162222222222
"8";"javadoc";0,00959088888888889
"2";"design";0,00871244444444444
"12";"regexp";0,00762622222222222
"1";"imports";0,00731155555555556
"10";"naming";0,00665
"7";"modifier";0,00361333333333333
